Symbol,Date,Close,Volume,Dayoff
MBB,2022-08-29,23400.0,11960000.0,No
MSN,2022-08-29,112200.0,572700.0,No
MWG,2022-08-29,74000.0,7690000.0,No
NVL,2022-08-29,82100.0,2660000.0,No
PDR,2022-08-29,53800.0,2740000.0,No
PLX,2022-08-29,42900.0,2360000.0,No
POW,2022-08-29,13950.0,14430000.0,No
SAB,2022-08-29,188000.0,106300.0,No
SSI,2022-08-29,24400.0,28610000.0,No
STB,2022-08-29,24850.0,15060000.0,No
TCB,2022-08-29,38750.0,4470000.0,No
TPB,2022-08-29,27700.0,2029999.0,No
VCB,2022-08-29,82500.0,951500.0,No
VHM,2022-08-29,59700.0,2040000.0,No
VIB,2022-08-29,25300.0,1850000.0,No
VIC,2022-08-29,63600.0,1340000.0,No
VJC,2022-08-29,122000.0,445400.0,No
VNM,2022-08-29,75500.0,3310000.0,No
VPB,2022-08-29,20800.0,26960000.0,No
VRE,2022-08-29,28400.0,1940000.0,No
ACB,2022-08-30,24550.0,2020000.0,No
BID,2022-08-30,39800.0,2330000.0,No
BVH,2022-08-30,57400.0,917800.0,No
CTG,2022-08-30,28400.0,3600000.0,No
FPT,2022-08-30,86400.0,1150000.0,No
GAS,2022-08-30,118900.0,725100.0,No
GVR,2022-08-30,26650.0,8000000.0,No
HDB,2022-08-30,21040.0,2040000.0,No
HPG,2022-08-30,23050.0,15310000.0,No
KDH,2022-08-30,37700.0,606400.0,No
MBB,2022-08-30,23650.0,9240000.0,No
MSN,2022-08-30,113700.0,574200.0,No
MWG,2022-08-30,73300.0,4230000.0,No
NVL,2022-08-30,82200.0,2390000.0,No
PDR,2022-08-30,55100.0,3110000.0,No
PLX,2022-08-30,42250.0,1820000.0,No
POW,2022-08-30,13850.0,11040000.0,No
SAB,2022-08-30,187900.0,57400.0,No
SSI,2022-08-30,23950.0,12090000.0,No
STB,2022-08-30,24650.0,8080000.0,No
TCB,2022-08-30,38750.0,3810000.0,No
TPB,2022-08-30,27900.0,821500.0,No
VCB,2022-08-30,86000.0,2500000.0,No
VHM,2022-08-30,59900.0,1770000.0,No
VIB,2022-08-30,25000.0,1670000.0,No
VIC,2022-08-30,63600.0,868400.0,No
VJC,2022-08-30,122400.0,261100.0,No
VNM,2022-08-30,76000.0,2230000.0,No
VPB,2022-08-30,20900.0,13670000.0,No
VRE,2022-08-30,28400.0,885800.0,No
ACB,2022-08-31,24650.0,1970000.0,No
BID,2022-08-31,40000.0,1620000.0,No
BVH,2022-08-31,58500.0,2860000.0,No
CTG,2022-08-31,28250.0,2080000.0,No
